104.17.237.152,104.23.198.136
106.105.204.105,106.117.16.33
92.76.86.39,92.82.218.60
237.6.92.46,237.10.97.70
14.249.19.76,14.253.230.11
73.122.217.211,73.132.233.52
105.38.47.254,105.50.141.99
97.221.186.236,97.233.118.192
73.11.36.238,73.11.208.184
78.237.224.73,78.248.156.4
37.158.97.142,37.173.85.94
152.213.55.195,152.219.39.152
61.105.102.255,61.116.47.57
98.45.166.93,98.57.112.64
52.195.16.89,52.196.31.117
77.137.19.190,77.149.109.35
140.91.116.112,140.100.186.150
58.176.185.124,58.187.148.222
153.136.236.210,153.143.118.45
94.228.173.164,94.233.168.92
153.213.15.188,153.216.9.66
9.10.123.216,9.16.47.182
252.201.39.252,252.214.159.209
94.144.83.150,94.154.232.67
179.194.224.178,179.209.26.124
16.184.134.60,16.185.94.140
176.67.80.213,176.71.188.64
90.87.114.208,90.87.237.224
70.154.115.203,70.166.53.96
58.213.18.137,58.227.163.171
230.61.250.6,230.71.143.120
76.127.109.237,76.133.105.56
168.78.178.85,168.82.99.229
118.103.196.253,118.108.164.93
239.39.216.176,239.45.147.184
4.173.221.138,4.188.232.95
34.97.139.111,34.101.62.18
170.183.252.36,170.191.97.155
40.160.20.149,40.172.78.218
115.191.168.244,115.194.54.12
112.92.154.205,112.106.209.11
30.78.137.174,30.91.138.4
138.144.46.153,138.151.51.195
57.216.34.186,57.230.67.168
183.14.148.170,183.27.24.204
115.161.62.174,115.164.90.46
34.173.50.215,34.177.129.175
216.220.124.4,216.234.183.21
23.45.216.232,23.54.101.178
228.74.109.46,228.77.147.176
232.153.104.197,232.168.79.30
73.6.194.45,73.9.19.199
17.222.248.73,17.235.85.242
50.65.229.214,50.76.203.201
